apple;사과
umbrella;우산
banana;바나나
canada;캐나다
sad;슬픈
ask;물어 보다
post;우편
random;무작위의
add;더하다
fall;떨어지다/가을
summer;여름
winter;겨울
spring;봄
strawberry;딸기
bad;나쁜
bed;침대
people;사람들
cause;원인
if;만약
achieve;성취하다
afraid;두려워하다
after;~후에
afternoon;오후
above;~보다 위에
about;~에 대하여
absolute;절대적인
able;할 수 있는
adult;성인
age;나이
again;다시
air;공기
agree;동의하다
affect;영향을 미치다
area;구역
army;군대
also;또한
always;항상
assess;평가하다
arrow;화살/화살표
assist;돕다
among;~사이에
amaze;놀라게 하다
atom;원자
attack;공격
audience;청중
automatic;자동의
advanced;고급의
baby;아기
basic;기본적인
base;기초
baseball;야구
bank;은행
bat;(야구 등의)배트
bathroom;욕실
battle;전투
bet;돈을 걸다/내기
beach;해변
bear;곰
beast;짐승/야수
beauty;아름다움
before;~전에
bee;벌
begin;시작하다
behavior;행동
behind;뒤에
below;아래에
bell;종
between;사이에
birth;탄생
bird;새
bit;조금
bite;물다
black;검은
blast;폭발
blood;피,혈액
blossom;꽃
blow;불다
blue;파란
board;판자
boat;배,보트
body;몸,신체
boil;끓다
blassing;축복
